4,8,1,5,10,2,6,3,9
4,8,1,9,3,6,2,10,5
4,8,2,6,3,9,1,5,10
4,8,2,6,3,9,1,10,5
4,8,2,10,5,1,6,3,9
4,8,2,10,5,1,9,3,6
5,10,1,4,8,2,6,3,9
5,10,1,8,4,2,6,3,9
5,10,1,9,3,6,2,4,8
5,10,1,9,3,6,2,8,4
5,10,2,4,8,1,6,3,9
5,10,2,4,8,1,9,3,6
5,10,2,6,3,9,1,4,8
5,10,2,6,3,9,1,8,4
5,10,2,8,4,1,6,3,9
5,10,2,8,4,1,9,3,6
6,3,9,1,4,8,2,10,5
6,3,9,1,5,10,2,4,8
6,3,9,1,5,10,2,8,4
6,3,9,1,8,4,2,10,5
8,4,1,5,10,2,6,3,9
8,4,1,9,3,6,2,10,5
8,4,2,6,3,9,1,5,10
8,4,2,6,3,9,1,10,5
8,4,2,10,5,1,6,3,9
8,4,2,10,5,1,9,3,6
9,3,6,1,4,8,2,10,5
9,3,6,1,5,10,2,4,8
9,3,6,1,5,10,2,8,4
9,3,6,1,8,4,2,10,5
9,3,6,2,4,8,1,5,10
9,3,6,2,4,8,1,10,5
9,3,6,2,8,4,1,5,10
9,3,6,2,8,4,1,10,5
9,3,6,2,10,5,1,4,8
9,3,6,2,10,5,1,8,4
10,5,1,4,8,2,6,3,9
10,5,1,8,4,2,6,3,9
10,5,1,9,3,6,2,4,8
10,5,1,9,3,6,2,8,4
